ILL	频率
N62  05	57
K85  06	57
K63.201	57
W51.901	57
K31.824	57
V89.001	57
N85.001	57
D23.901	57
214  09	57
389.103	57
836.201	57
D76.201	57
S32.801	57
456.101	57
N83.901	57
558  09	57
S46.302	57
E23.202	57
427.502	57
879.806	57
C82.901 M96900/3	56
I67.201	56
R63.001	56
R09.001	56
M79.681	56
K35.105	56
250.507+357.204*	56
239.801	56
Z96.001	56
D33.201	56
550.903	56
564.103	56
Q76.002	56
D73.201	55
J38.706	55
Z98.821	55
R22.203	55
N32.802	55
S67.801	55
610.203	55
782.301	55
C16.904	55
G44.103	55
426.402	55
G56.001	55
S05.901	55
K05.302	55
905.202	55
070.501+573.101*	55
940.901	55
N71.902	55
724.201	55
L20.803	55
943.001	55
431  07	55
G58.802	55
T81.901	54
H81.902	54
C78.101	54
E06.101	54
611.102	54
B35.601	54
K56.501	54
K31.102	54
N02.801	54
G51.001	54
473.003	54
152.001	54
S46.801	54
S83.202	54
K31.902	54
F79.902	54
E04.903	54
R40.203	54
799.401	54
R32  01	54
H02.001	54
T08  01	54
N62  06	53
S63.002	53
K91.814	53
365.901	53
H35.302	53
I20.804	53
Q51.801	53
K29.801	53
P07.301	53
I88.902	53
351.001	53
M41.991	53
198.819	53
Q68.101	53
300.902	53
L98.901	53
L08.916	53
380.104	52
799.103	52
473.902	52
300.301	52
208.901 M98000/3	52
531.501	52
604.901	52
G82.501	52
S92.311	52
S02.401	52
D36.709	52
558  20	52
535.501	52
682.502	52
K25.906	52
I61.501	52
I88.901	52
I80.203	52
348.904	52
K29.703	52
K59.901	52
D32.022	51
M98000/3	51
K20  05	51
C16.101	51
C81.901 M96500/3	51
K65.013	51
S63.101	51
C69.901	51
622.001	51
425.409	51
S91.306	51
196.004	51
X19.901	51
D18.039	51
